iter,n,K,max_previous_assortments,worst_case_revenue,best_case_revenue
1,10,10,0.7556815695579009,0.7556815695579008,0.7556815695579008
2,10,10,0.12228337010479522,0.12228337010479523,0.12228337010479523
3,10,10,0.1600634283122257,0.1600634283122257,0.1600634283122257
4,10,10,0.32165883780881244,0.3216588378088124,0.3216588378088124
5,10,10,0.8394749816376794,0.8394749816376794,0.8394749816376794
6,10,10,0.5242934748122854,0.5242934748122854,0.5242934748122854
7,10,10,0.3431166151880379,0.3435453878667233,0.4160555676101743
8,10,10,0.5269357132427303,0.5269357132427304,0.5269357132427304
9,10,10,0.24330272304604617,0.24330272304604617,0.24330272304604617
10,10,10,0.6201742164253217,0.6201742164253218,0.6201742164253218
11,10,10,0.738689538755466,0.7386895387554658,0.7386895387554658
12,10,10,0.4504966508779802,0.45049665087798024,0.45049665087798024
13,10,10,0.5310986068167497,0.5310986068167497,0.5310986068167497
14,10,10,0.730288085627344,0.7302880856273439,0.7302880856273439
15,10,10,0.636124748293892,0.6361247482938919,0.6361247482938919
16,10,10,0.33136886536067656,0.33136886536067656,0.33136886536067656
17,10,10,0.6099873421087793,0.6099873421087793,0.6099873421087793
18,10,10,0.7384246074808626,0.7384246074808627,0.7384246074808627
19,10,10,0.7009788686764744,0.7009788686764744,0.7009788686764744
20,10,10,0.17369704751671694,0.1736970475167169,0.1736970475167169
21,10,10,0.3812795555334718,0.38127955553347187,0.38127955553347187
22,10,10,0.3381834347887919,0.3425008877492266,0.36922663375530496
23,10,10,0.6207607280382277,0.6207607280382277,0.6207607280382277
24,10,10,0.7614381932217898,0.76143819322179,0.76143819322179
25,10,10,0.5684481909321641,0.568448190932164,0.568448190932164
26,10,10,0.4937886005494779,0.5176897308340958,0.5235320603062639
27,10,10,0.33646538252192826,0.3364653825219282,0.3364653825219282
28,10,10,0.6099227682190322,0.6099227682190322,0.6099227682190322
29,10,10,0.4987404682716723,0.5003187137714155,0.5891967566072978
30,10,10,0.8611547386726682,0.8611547386726681,0.8611547386726681
31,10,10,0.6942844403237718,0.6942844403237718,0.6942844403237718
