iter,n,K,speed
3,26,1000,0.194749462
3,28,1000,0.274495851
3,30,1000,0.391657627
3,32,1000,0.434884052
3,34,1000,0.382158916
3,36,1000,0.695606595
3,38,1000,0.818079799
3,40,1000,1.171940852
3,42,1000,1.028323406
3,44,1000,1.354202479
3,46,1000,1.767409474
3,48,1000,2.049602527
3,50,1000,2.426550264
3,52,1000,2.786514577
3,54,1000,3.171457213
3,56,1000,3.092272132
3,58,1000,3.07746029
3,60,1000,4.651474179
3,62,1000,5.389164065
3,64,1000,6.08863156
3,66,1000,6.93696889
3,68,1000,6.990336368
3,70,1000,8.557838424
3,72,1000,11.820553625
3,74,1000,11.362094242
3,76,1000,12.139344622
3,78,1000,12.441559751
3,80,1000,15.393005788
3,82,1000,16.226230745
3,84,1000,15.33272915
3,86,1000,18.691259143
3,88,1000,21.553431189
3,90,1000,25.204951628
3,92,1000,25.52936251
3,94,1000,31.683588052
3,96,1000,33.924616706
3,98,1000,36.787552968
3,100,1000,36.87600604
4,10,1000,0.012756528
4,12,1000,0.020268628
4,14,1000,0.02146474
4,16,1000,0.065399787
4,18,1000,0.064893204
4,20,1000,0.07562543
4,22,1000,0.119857249
4,24,1000,0.181291264
4,26,1000,0.188762114
4,28,1000,0.396129338
4,30,1000,0.366985671
4,32,1000,0.37865027
4,34,1000,0.465957234
4,36,1000,0.650723073
4,38,1000,0.740234769
4,40,1000,1.076950107
4,42,1000,1.41870008
4,44,1000,1.642277504
4,46,1000,1.666961718
4,48,1000,1.87212276
4,50,1000,2.547996244
4,52,1000,2.886797952
4,54,1000,2.879281032
4,56,1000,3.830738018
4,58,1000,3.523330842
4,60,1000,4.713977481
4,62,1000,6.005086974
4,64,1000,5.956882797
4,66,1000,6.451248674
4,68,1000,7.93330426
4,70,1000,6.919847513
4,72,1000,9.075865224
4,74,1000,10.979775376
4,76,1000,11.088947271
4,78,1000,13.441653248
4,80,1000,15.077034693
4,82,1000,18.136111254
4,84,1000,16.064224989
4,86,1000,18.03559346
4,88,1000,18.073133138
4,90,1000,24.0233577
4,92,1000,26.246896183
4,94,1000,28.572414038
4,96,1000,31.995053058
4,98,1000,31.946077256
4,100,1000,33.47136908
5,10,1000,0.020345056
5,12,1000,0.032566184
5,14,1000,0.025923358
5,16,1000,0.055221648
5,18,1000,0.066886106
5,20,1000,0.077039567
5,22,1000,0.114404795
5,24,1000,0.178259005
5,26,1000,0.161891026
5,28,1000,0.354325293
5,30,1000,0.407428102
5,32,1000,0.437445035
5,34,1000,0.532351795
5,36,1000,0.766951637
5,38,1000,0.94532979
5,40,1000,1.022947598
5,42,1000,1.290490078
5,44,1000,1.191642563
5,46,1000,1.506409679
5,48,1000,1.433201342
5,50,1000,2.35968337
5,52,1000,2.819210768
5,54,1000,3.514540067
5,56,1000,3.13347888
5,58,1000,4.175056996
5,60,1000,4.143660825
5,62,1000,5.731978969
5,64,1000,5.66308479
5,66,1000,6.700169632
5,68,1000,8.607549002
5,70,1000,8.68822117
5,72,1000,8.548368927
5,74,1000,9.400457417
5,76,1000,11.208665545
5,78,1000,12.757322551
5,80,1000,14.678368832
5,82,1000,17.959429806
5,84,1000,18.674132827
5,86,1000,22.863041891
5,88,1000,22.585349927
5,90,1000,22.534653588
5,92,1000,25.722185664
5,94,1000,28.024583895
5,96,1000,26.17527416
5,98,1000,36.002961169
5,100,1000,40.741294058
6,10,1000,0.008127636
6,12,1000,0.021686883
6,14,1000,0.034038793
6,16,1000,0.029279597
6,18,1000,0.040611735
6,20,1000,0.107939435
6,22,1000,0.139667047
6,24,1000,0.252050566
6,26,1000,0.204271749
6,28,1000,0.33889854
6,30,1000,0.340680208
6,32,1000,0.30504791
6,34,1000,0.574578308
6,36,1000,0.814865772
6,38,1000,1.099743065
6,40,1000,1.116919823
6,42,1000,1.229869726
6,44,1000,1.493047266
6,46,1000,1.557409777
6,48,1000,1.61038317
6,50,1000,2.731034394
6,52,1000,2.355510952
6,54,1000,2.352758434
6,56,1000,3.545440027
6,58,1000,4.157624497
6,60,1000,5.071239958
6,62,1000,5.68635801
6,64,1000,5.291279627
6,66,1000,6.640599887
6,68,1000,6.687510025
6,70,1000,8.146087832
6,72,1000,7.759074256
6,74,1000,11.039877016
6,76,1000,12.581707989
