iter,n,K,M,speed,max_previous_assortments,worst_case_revenue
3,20,80,12,11.799884804,5511.548380150665,5830.477824701851
3,20,80,13,35.322249232,3453.440741374191,3663.3538589439086
3,20,80,14,8.706951384,6543.9526394895365,6543.952639489535
3,20,80,15,27.939801577,5170.468785090748,5314.821613562419
3,20,80,16,16.563541596,2996.6431221930284,3047.313988366138
3,20,80,17,10.975872849,4770.836410701957,5441.494424207624
3,20,80,18,10.780253261,5001.204455165254,5152.088815013101
3,20,80,19,45.974519493,5379.059666090951,5682.7938010340895
3,20,80,20,16.522602763,4311.035795509686,4454.786894212599
4,20,80,2,1.358256668,4829.4234024708685,4829.423402470875
4,20,80,3,2.092811566,5433.039018354916,5433.039018354917
4,20,80,4,5.440901582,3622.2924661854745,3685.9078699109696
4,20,80,5,7.954918001,4585.401239104029,4590.959736721813
4,20,80,6,15.709911126,4345.131027361434,4745.628996939645
4,20,80,7,9.020865733,5741.737347863671,5741.7373478636755
4,20,80,8,13.805352884,4501.132694894211,4596.31692648326
4,20,80,9,13.182564029,6521.067107684258,6579.217295240013
4,20,80,10,5.837552912,6371.83674585618,6371.836745856179
4,20,80,11,4.83380831,5840.368503935701,5968.365213836906
4,20,80,12,12.886498446,6270.504728852949,6454.215645673483
4,20,80,13,6.302418719,3832.0896428604847,4327.249825959566
4,20,80,14,11.819475677,4655.655005298021,5081.710554681087
4,20,80,15,19.608466445,3778.5435572361826,3785.391636304444
4,20,80,16,33.876481178,5355.41525060661,5364.204387212684
4,20,80,17,9.177688272,4883.248382498916,5520.971240439148
4,20,80,18,16.789599081,5814.465551875179,6391.2627630016395
4,20,80,19,36.146787367,5676.198309990926,6224.078946455189
4,20,80,20,49.584051331,4083.359712324964,4403.375167571184
5,20,80,2,1.831489924,4734.601334333382,4734.601334333385
5,20,80,3,3.643822927,5610.686910592696,5634.972501773844
5,20,80,4,2.874342445,5944.883824947848,5954.173461180398
5,20,80,5,3.485491921,5903.348263255958,5903.348263255959
5,20,80,6,8.579503395,5474.307491764659,5474.307491764658
5,20,80,7,8.751368168,4483.83130470333,4483.83130470333
5,20,80,8,5.005388879,7482.596319166316,7482.596319166318
5,20,80,9,17.153593064,4541.768249413763,4557.7101225400165
5,20,80,10,3.928284431,4374.496265187472,4887.172200624524
5,20,80,11,74.059085927,3137.2330579375207,3137.2330579375184
5,20,80,12,11.206214558,5676.655060564645,5860.918940433437
5,20,80,13,12.198221263,5895.155687984908,6023.455003870228
5,20,80,14,15.212097628,5154.604285258011,5597.878419773478
5,20,80,15,11.582365285,5892.281550043654,5925.812953169568
5,20,80,16,7.966894474,5880.572438036449,6540.400937770438
5,20,80,17,25.610611703,5804.098700407361,6103.0967120841715
5,20,80,18,14.833220631,4495.424587476347,5151.455324930021
5,20,80,19,9.497073809,6034.880650827767,6634.556178067785
5,20,80,20,11.802099692,4899.1492292462235,5146.669000920274
6,20,80,2,2.953489274,5371.587423874525,5371.587423874526
6,20,80,3,1.705172832,3839.691863839652,3839.69186383965
6,20,80,4,9.416977039,4342.870996425538,4358.65009703293
6,20,80,5,1.908906854,5300.238283390798,5300.2382833908
6,20,80,6,8.616382885,4185.082655886057,4328.669425812802
6,20,80,7,7.798153282,4324.216176552436,4473.9395235999045
6,20,80,8,5.606772371,4223.822156397069,4385.102927700574
6,20,80,9,6.331953314,4713.581671711467,4918.031053502529
6,20,80,10,19.122434602,5500.154547430283,5667.462375195904
6,20,80,11,28.132965849,5377.869489151366,5580.8453822248175
6,20,80,12,10.631145685,5138.301506759794,5138.301506759802
6,20,80,13,5.648756858,4658.011328178398,4668.863597301003
6,20,80,14,12.243021801,4506.760123794176,4745.322633968689
6,20,80,15,11.279399846,5757.551170775263,5842.920107187768
6,20,80,16,14.581202716,5175.99188750939,5230.153908786845
6,20,80,17,14.58675408,5750.84481589513,5780.052106657614
6,20,80,18,21.781932892,6782.165845435777,7475.653568156915
6,20,80,19,18.964759367,5562.126506199191,5850.661056097447
6,20,80,20,16.142098758,5208.944107816176,5352.888659283398
7,20,80,2,2.866089856,4995.036984452061,5029.949151638387
7,20,80,3,5.081544799,3184.5240761884666,3199.270757661393
7,20,80,4,2.271097472,6079.733184081484,6176.735186903801
7,20,80,5,9.388300869,3751.7833883577778,4158.016549660494
7,20,80,6,7.008364274,5528.777236150561,5528.777236150564
7,20,80,7,24.400733075,2663.1562464647,2663.1562464647277
7,20,80,8,10.744346841,3838.0432749584816,3955.976966966974
7,20,80,9,16.433219064,5158.724978432341,5581.639419528575
7,20,80,10,6.180853258,6217.700104156804,6474.415660483299
7,20,80,11,5.207314305,6226.533731319357,6550.84648887189
7,20,80,12,42.344392509,4412.647447866084,4503.416924667642
7,20,80,13,25.214861699,5633.981978165513,5664.891726960143
7,20,80,14,10.167127905,4111.878665046355,4111.878665046357
7,20,80,15,14.383595796,5955.109833067,6299.222226036467
7,20,80,16,9.605581122,4222.669756817335,4660.864670709225
7,20,80,17,13.031126419,4276.107726537679,5400.815760253477
7,20,80,18,38.350033931,6862.217151152112,7072.0779805504735
7,20,80,19,17.152764868,6414.89298906914,6752.169584374841
7,20,80,20,49.192108096,5001.295200529351,5052.409018700075
8,20,80,2,0.678475713,4261.758537874768,4261.758537874769
8,20,80,3,3.566770141,5218.337444625081,5426.8345807790765
8,20,80,4,24.342195064,3792.6035910038686,3908.95505343189
8,20,80,5,5.882435801,3723.463046436277,3863.201341563833
8,20,80,6,5.482075362,3900.012716175961,3900.012716175967
8,20,80,7,3.502896033,6357.486611444847,6365.402990595925
8,20,80,8,4.319984038,7565.048217521717,7620.5168028926255
8,20,80,9,13.798791225,5553.480705929647,6162.7294270021885
8,20,80,10,14.055057492,7280.042126433245,7292.792103236747
8,20,80,11,9.221013622,6084.656248696212,6113.698103457236
8,20,80,12,11.188275049,6428.633371876939,6832.572215726724
8,20,80,13,18.730900946,5142.517279536114,5236.920587686133
8,20,80,14,7.233972398,5965.107571777895,6129.216446054602
8,20,80,15,14.75086054,5846.685621379938,6203.438751403611
