iter,max_previous_assortment,best_case_revenue,upper_bound,n,time,rev_ordered
34,4383.349732553099,9210.296739312116,8457.333388765319,15,2.214166923,other
35,7570.451913883206,8005.2331670847925,8526.369974633897,10,0.67178553,rev_ordered
35,5060.7159447952245,7673.553385923998,7214.30070927337,10,0.600210156,reverse_rev_ordered
35,5068.305767591225,9012.022633779692,8058.974978096028,15,2.234005956,other
36,4810.940727565925,5059.2546191889105,5716.523041825158,10,0.663758728,rev_ordered
36,5192.386426999377,6423.740527276487,6318.722524617648,10,0.597195535,reverse_rev_ordered
36,4292.324542922613,8654.706034125236,8027.871449464259,15,2.36169859,other
37,7312.506287834166,7538.525868816426,7980.494508500287,10,0.643700461,rev_ordered
37,6129.960357243299,8082.192198962835,7903.501630764901,10,0.645862927,reverse_rev_ordered
37,3787.7074862335603,7583.9242132959735,7150.268514863912,15,2.276784795,other
38,6941.535221865529,7284.077611558489,7773.952645380445,10,0.66623295,rev_ordered
38,5407.546395724314,9196.830262830605,7821.261675550508,10,0.596906351,reverse_rev_ordered
38,6803.542975801709,9545.902211904942,9174.785618027705,15,2.162845941,other
39,7116.833181495699,7370.86019594413,7840.243818074842,10,0.69765261,rev_ordered
39,4951.127539459374,7783.314451477345,7421.305286913496,10,0.618366132,reverse_rev_ordered
39,6548.514539468447,9358.864153109542,8740.25747662865,15,2.500137484,other
40,7418.127455396918,7666.033738033252,7948.533145248463,10,0.665351921,rev_ordered
40,4706.931550730012,7767.749808519427,6918.1026672210455,10,0.594701156,reverse_rev_ordered
40,6104.237338933623,8538.501880330985,7919.722829291544,15,2.268509726,other
41,6361.893215911793,6805.4418392977295,7192.844344422008,10,0.707980103,rev_ordered
41,5334.499642943058,7957.728477366447,7362.5868385598915,10,0.64454203,reverse_rev_ordered
41,5326.298598036223,8023.133444309467,7520.358609998803,15,2.098595231,other
42,6624.61958367996,7001.418032585238,7336.6906320688095,10,0.630540613,rev_ordered
42,4492.339240728028,5923.833261021164,5771.900818748889,10,0.616697179,reverse_rev_ordered
42,3836.219454824004,8813.962751473524,7351.352090588996,15,2.269065707,other
43,5857.290161037243,6053.945660143068,6322.847672667912,10,0.681965974,rev_ordered
43,5774.286658503374,8485.2184444012,8151.623819367697,10,0.66800395,reverse_rev_ordered
43,5117.813382478182,8744.336575002135,8191.948684628435,15,2.346679812,other
44,7585.264918457585,7905.319836532582,8425.78056216139,10,0.657369458,rev_ordered
44,4339.09166326514,6863.720202673387,6030.784976532347,10,0.584294041,reverse_rev_ordered
44,4991.269782886816,8581.81663727824,7395.462748193352,15,2.262238559,other
45,6575.455154242498,7470.39399487891,7804.552385156933,10,0.656423709,rev_ordered
45,4578.137006879441,6934.2854594304845,6229.121468209717,10,0.620776659,reverse_rev_ordered
45,4592.864619518079,9429.572139583384,8649.090288028503,15,2.319773278,other
46,5678.203234094761,6318.055214044799,6590.597836994731,10,0.603079406,rev_ordered
46,4978.819842365442,9247.93367701608,8163.070032131486,10,0.644058343,reverse_rev_ordered
46,4687.005770451783,8057.598909411252,7407.648932636916,15,2.360150329,other
47,5863.6042592789145,6435.457647259901,6766.098463948424,10,0.625372579,rev_ordered
47,6473.164508573429,9043.923264733081,8524.410773099506,10,0.623792323,reverse_rev_ordered
47,3823.2559957693543,8160.039860448816,7323.507459392119,15,2.101388825,other
48,5292.286135719518,5292.286135719524,5982.198072751998,10,0.692038945,rev_ordered
48,5025.7949134502305,8353.738913413697,7365.547557209482,10,0.578925862,reverse_rev_ordered
48,5130.9861139696895,8536.104183943347,7871.929692396697,15,2.206511241,other
49,5417.147323100023,5753.476142588416,6123.765052583905,10,0.622656293,rev_ordered
49,5854.732470891664,8508.589151971319,8049.986341848618,10,0.614641738,reverse_rev_ordered
49,4375.836407599177,7705.611973329186,7133.745636522363,15,2.14940055,other
50,6371.420183695194,6652.4620162825595,7120.437966878629,10,0.626734241,rev_ordered
50,5388.979618442483,7883.272063394231,7462.332769390057,10,0.589527728,reverse_rev_ordered
50,6678.8149339038155,9240.388089315133,9011.852560512334,15,2.248370421,other
51,5246.650300899109,5782.50144200347,6222.7349226958795,10,0.648148235,rev_ordered
51,6018.5915638325405,8256.803562867277,7475.33875237195,10,0.673270857,reverse_rev_ordered
51,6245.948366008259,9303.755830028174,8622.777065589988,15,2.228294478,other
52,6348.319238982953,6812.304514984313,7323.174562941606,10,0.684313849,rev_ordered
52,5609.883686172354,8027.428563349677,7623.450264197585,10,0.611959977,reverse_rev_ordered
52,5480.489547347871,8740.706825711024,8156.585913304469,15,2.340401919,other
53,7098.273575065492,7333.420764815576,7901.617971466382,10,0.63709776,rev_ordered
53,5540.027899262016,8544.582183649587,7938.710623247029,10,0.685571345,reverse_rev_ordered
53,4577.364192802744,8796.12853483193,7873.330257640531,15,2.656958914,other
54,7545.083934351084,7898.943699394305,8278.240210810936,10,0.657560523,rev_ordered
54,4676.534242416562,7539.506812839757,7133.49957455224,10,0.601831287,reverse_rev_ordered
54,5174.874384016176,7430.702830879474,6849.6503888650295,15,2.238980666,other
55,5973.883015007508,6260.266004407602,6567.143866255474,10,0.616085729,rev_ordered
55,4619.199839761962,7776.976163382078,7348.126510883055,10,0.606326882,reverse_rev_ordered
55,3756.4198020008075,8655.065033967214,7362.677499640522,15,2.233514368,other
56,4128.721607692177,4510.597885696443,4887.7881925081365,10,0.654444162,rev_ordered
56,5234.212928435636,7699.948236046528,7611.093507523961,10,0.653350546,reverse_rev_ordered
56,4608.656627995395,8186.627499371533,7282.717180250468,15,2.287336881,other
57,7475.3838385491035,7510.987848920582,8139.283612996151,10,0.747664102,rev_ordered
57,5161.719663207023,7391.1226255777965,7186.1946748966375,10,0.659684498,reverse_rev_ordered
57,4906.928719047954,8086.211865632256,7358.035257796362,15,2.36601826,other
58,8035.592250113634,8176.224992233124,8901.771526915205,10,0.689636652,rev_ordered
58,5951.670406945513,8340.97788096944,7874.828832455245,10,0.626968437,reverse_rev_ordered
58,4708.792993284646,8952.166590462502,7600.5103270470245,15,2.411342296,other
59,6643.177143009661,6853.278749912771,7296.985806122762,10,0.625274483,rev_ordered
59,5314.97265098854,8222.582568961632,7870.344785988837,10,0.625071936,reverse_rev_ordered
59,3904.7703012798765,8592.606079002528,7400.687887956675,15,2.178631974,other
60,5810.489062740018,6344.097150493254,6808.705438601798,10,0.665104528,rev_ordered
60,5497.3088175641315,8520.300201607315,8234.871029581212,10,0.624172675,reverse_rev_ordered
60,4745.631440175686,8990.200965791732,7947.884985503615,15,2.140121862,other
61,5125.511825462262,5244.641036179887,5746.3163273674,10,0.642558954,rev_ordered
61,4905.752717757234,8934.87027851282,7761.336202227243,10,0.577558088,reverse_rev_ordered
61,3352.240943700261,8963.222160209345,6646.58856440711,15,2.122155675,other
