iter,max_previous_assortment,optimal_worst_case_revenue,fraction,worst_case_revenue,best_case_revenue,n,rev_ordered
1,6844.033067047243,6844.033067047244,0.0,4275.285474013137,7054.994966290804,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.01,4275.285474013137,7054.994966290702,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.02,4275.285474013137,7054.994966290702,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.03,4275.285474013137,7054.994966290702,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.04,4275.285474013137,7054.994966290702,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.05,4275.285474013137,7054.994966290704,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.06,4275.285474013137,7054.994966290704,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.07,4275.285474013137,7054.994966290704,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.08,4275.285474013137,7054.994966290703,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.09,4275.285474013137,7054.994966290703,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.1,4275.285474013137,7054.994966290681,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.11,4275.285474013137,7054.994966290718,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.12,4275.285474013137,7054.994966290718,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.13,4275.285474013137,7054.994966290702,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.14,4275.285474013137,7054.994966290701,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.15,4275.285474013137,7054.994966290701,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.16,4275.285474013137,7054.994966290704,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.17,4275.285474013137,7054.994966290703,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.18,4275.285474013137,7054.994966290704,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.19,4275.285474013137,7054.994966290703,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.2,4275.285474013137,7054.994966290704,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.21,4275.285474013137,7054.994966290719,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.22,4275.285474013137,7054.994966290685,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.23,4275.285474013137,7054.994966290719,10,rev_ordered
1,6844.033067047243,6844.033067047244,0.24,4275.285474013137,7054.994966290703,10,rev_ordered
