iter,max_previous_assortments,estimated_revenue,worst_case_revenue,best_case_revenue,n
1,0.5758182794532318,0.5785874598803463,0.4672316393034195,0.6001559080388759,4
2,0.2560842905460649,0.2560842905460649,0.2560842905460649,0.2560842905460649,4
3,0.5509517779549784,0.5509517779549784,0.5509517779549784,0.5509517779549784,4
4,0.2197872469075809,0.2197872469075809,0.2197872469075809,0.2197872469075809,4
5,0.38466694848517624,0.3846669484851761,0.3846669484851761,0.3846669484851761,4
6,0.3801408648452535,0.40499127916880595,0.2926628790733131,0.42509602744056774,4
7,0.5718810966487545,0.5718810966487545,0.5718810966487545,0.5718810966487545,4
8,0.4158545426977319,0.4409745127532217,0.31197506350957677,0.47048228359914346,4
9,0.480199438265108,0.48019943826510797,0.4801994382651079,0.48019943826510797,4
10,0.29927680762933506,0.3016943648589915,0.24146018633808064,0.32195845414057783,4
11,0.41712743232215593,0.41712743232215593,0.417127432322156,0.417127432322156,4
12,0.5213081407576221,0.5213081407576221,0.5213081407576221,0.5213081407576221,4
13,0.3684468195199404,0.36844681951994035,0.3684468195199404,0.36844681951994035,4
14,0.503534840615199,0.5035348406151988,0.5035348406151988,0.5035348406151988,4
15,0.6141211200982353,0.614121120098235,0.6141211200982352,0.6141211200982352,4
16,0.13681601242655267,0.13681601242655264,0.13681601242655264,0.13681601242655264,4
17,0.4378398225285647,0.47043942451953774,0.34262308781410095,0.4993392111642843,4
18,0.48359862598310677,0.4835986259831066,0.48359862598310666,0.48359862598310666,4
19,0.5454104643935984,0.5454104643935984,0.5454104643935985,0.5454104643935985,4
20,0.4346317405990786,0.4540960613853424,0.33247553945820185,0.4667204922069126,4
21,0.6485431353145336,0.6485431353145334,0.6485431353145334,0.6485431353145334,4
22,0.2920168439342195,0.2920168439342196,0.2920168439342196,0.2920168439342196,4
23,0.5440495405637726,0.5440495405637726,0.5440495405637725,0.5440495405637725,4
24,0.48294213408543785,0.48294213408543796,0.48294213408543796,0.48294213408543796,4
25,0.671552097696579,0.6715520976965792,0.6715520976965792,0.6715520976965792,4
26,0.20368089504273096,0.22703300432524104,0.16294301685954687,0.23364215052105292,4
27,0.6180463073626852,0.6180463073626852,0.6180463073626853,0.6180463073626853,4
28,0.5678365206397185,0.5678365206397183,0.5678365206397183,0.5678365206397183,4
29,0.4632546091517189,0.46325460915171884,0.46325460915171884,0.46325460915171884,4
30,0.5064339391904926,0.5064339391904927,0.5064339391904927,0.5064339391904927,4
31,0.5978388776371328,0.597838877637133,0.597838877637133,0.597838877637133,4
32,0.5635464936882154,0.5635464936882156,0.5635464936882155,0.5635464936882155,4
33,0.4128903530935024,0.4128903530935023,0.4128903530935023,0.4128903530935023,4
34,0.5924924670342078,0.5924924670342079,0.5924924670342078,0.5924924670342078,4
35,0.3821253555109948,0.412913152468312,0.3055133193359033,0.4292843887285306,4
36,0.6442525314224363,0.6442525314224363,0.6442525314224364,0.6442525314224364,4
37,0.6796582395664719,0.6796582395664718,0.6796582395664718,0.6796582395664718,4
38,0.4520891262185277,0.4520891262185278,0.4520891262185278,0.4520891262185278,4
39,0.22145707436880596,0.22145707436880602,0.221457074368806,0.221457074368806,4
40,0.5320202254789904,0.5826789639820313,0.45469918351113736,0.6022462734230527,4
41,0.4968018600115567,0.4968018600115564,0.49680186001155635,0.49680186001155635,4
42,0.33490903131358996,0.33490903131358984,0.33490903131358984,0.33490903131358984,4
43,0.4982377246897944,0.49823772468979455,0.49823772468979455,0.49823772468979455,4
44,0.5354982972365296,0.557760448644333,0.4268188271576666,0.5761829382313828,4
45,0.6981994576821042,0.698199457682104,0.698199457682104,0.698199457682104,4
46,0.6057046528104966,0.6057046528104965,0.6057046528104965,0.6057046528104965,4
47,0.6076899159781737,0.6076899159781737,0.6076899159781738,0.6076899159781737,4
48,0.6182921682038556,0.6182921682038557,0.6182921682038557,0.6182921682038557,4
49,0.4660147443017843,0.5172778995174542,0.38354069235317156,0.5578941127212002,4
50,0.3468258719500137,0.34682587195001374,0.3468258719500136,0.3468258719500136,4
51,0.698956452235525,0.7029132871971605,0.5235897030678562,0.7077295265855672,4
52,0.5040583728829722,0.5040583728829723,0.5040583728829723,0.5040583728829723,4
53,0.4782801247390897,0.481460921875127,0.4053222104463382,0.5303687555608905,4
54,0.4687962312309236,0.4687962312309233,0.4687962312309234,0.4687962312309234,4
55,0.5415866966493684,0.5415866966493685,0.5415866966493685,0.5415866966493685,4
56,0.5325156360515417,0.532515636051542,0.532515636051542,0.532515636051542,4
57,0.4635022446407613,0.4635022446407612,0.4635022446407612,0.4635022446407612,4
58,0.5929905131760007,0.5929905131760007,0.5929905131760005,0.5929905131760005,4
59,0.4500402525837967,0.45004025258379676,0.45004025258379676,0.45004025258379676,4
60,0.39860615459753834,0.39860615459753845,0.39860615459753845,0.39860615459753845,4
61,0.28678360530197067,0.28678360530197067,0.28678360530197067,0.28678360530197067,4
62,0.4292016601176817,0.4323713640024554,0.3449796091333447,0.44037663913682956,4
63,0.35842447836163177,0.3584244783616321,0.35842447836163205,0.35842447836163205,4
64,0.6311367647980797,0.6311367647980799,0.6311367647980799,0.6311367647980799,4
65,0.3165918404133832,0.3165918404133832,0.31659184041338323,0.31659184041338323,4
66,0.4403520636317983,0.44035206363179835,0.44035206363179835,0.44035206363179835,4
67,0.5074921243797424,0.5074921243797424,0.5074921243797424,0.5074921243797424,4
68,0.4569542121910384,0.45695421219103827,0.4569542121910383,0.4569542121910383,4
69,0.5562654947737086,0.5562654947737086,0.5562654947737086,0.5562654947737086,4
70,0.2927063532490342,0.2927063532490342,0.29270635324903427,0.29270635324903427,4
71,0.5389854236984859,0.5619430046082013,0.49512899250486175,0.5619430046082013,4
72,0.6458294357370546,0.6458294357370546,0.6458294357370548,0.6458294357370548,4
73,0.26935816725795175,0.26935816725795175,0.26935816725795175,0.26935816725795175,4
74,0.6947278968577886,0.6947278968577885,0.6947278968577885,0.6947278968577885,4
75,0.635419424614251,0.6354194246142508,0.6354194246142509,0.6354194246142509,4
76,0.3643423277323248,0.36434232773232467,0.36434232773232467,0.36434232773232467,4
