iter,max_previous_assortment,best_case_revenue,worst_case_revenue,optimal_obj_val,n,M,time_optimistic,time_robust,best_case_pareto,worst_case_pareto,expected_revenue_pareto
1,42.834848484848465,90.2272727272728,42.83484848484846,50.67121212121216,15,3,1.811092191,1.532821344,42.834848484848465,42.83484848484846,42.83484848484846
1,42.834848484848465,90.2272727272728,42.83484848484846,50.67121212121216,15,3,1.811092191,1.532821344,80.21060606060611,42.5333333333333,43.84999999999998
1,42.834848484848465,90.2272727272728,42.83484848484846,50.67121212121216,15,3,1.811092191,1.532821344,82.85303030303038,42.47424242424242,43.84999999999998
1,42.834848484848465,90.2272727272728,42.83484848484846,50.67121212121216,15,3,1.811092191,1.532821344,84.239393939394,40.31060606060604,45.78181818181818
1,42.834848484848465,90.2272727272728,42.83484848484846,50.67121212121216,15,3,1.811092191,1.532821344,84.42121212121219,37.946969696969646,45.686363636363645
1,42.834848484848465,90.2272727272728,42.83484848484846,50.67121212121216,15,3,1.811092191,1.532821344,84.66363636363643,34.69848484848482,44.904545454545456
1,42.834848484848465,90.2272727272728,42.83484848484846,50.67121212121216,15,3,1.811092191,1.532821344,85.38636363636373,34.180303030303,44.23484848484847
1,42.834848484848465,90.2272727272728,42.83484848484846,50.67121212121216,15,3,1.811092191,1.532821344,85.85303030303037,31.816666666666638,43.72727272727272
1,42.834848484848465,90.2272727272728,42.83484848484846,50.67121212121216,15,3,1.811092191,1.532821344,86.1303030303031,28.592424242424208,42.18484848484848
1,42.834848484848465,90.2272727272728,42.83484848484846,50.67121212121216,15,3,1.811092191,1.532821344,86.41969696969706,28.124242424242397,38.73333333333334
1,42.834848484848465,90.2272727272728,42.83484848484846,50.67121212121216,15,3,1.811092191,1.532821344,86.72272727272735,25.343939393939365,40.203030303030296
1,42.834848484848465,90.2272727272728,42.83484848484846,50.67121212121216,15,3,1.811092191,1.532821344,86.9772727272728,24.115151515151485,36.66060606060607
1,42.834848484848465,90.2272727272728,42.83484848484846,50.67121212121216,15,3,1.811092191,1.532821344,87.12575757575765,20.39545454545454,34.08939393939393
1,42.834848484848465,90.2272727272728,42.83484848484846,50.67121212121216,15,3,1.811092191,1.532821344,87.89545454545458,18.58787878787876,32.72878787878789
1,42.834848484848465,90.2272727272728,42.83484848484846,50.67121212121216,15,3,1.811092191,1.532821344,89.08484848484854,11.9272727272727,25.715151515151522
1,47.8621212121212,92.67878787878792,47.862121212121245,50.67121212121216,15,4,1.237396978,3.432836988,87.38333333333338,47.862121212121245,49.53787878787879
1,47.8621212121212,92.67878787878792,47.862121212121245,50.67121212121216,15,4,1.237396978,3.432836988,88.16666666666669,45.787878787878775,47.828787878787864
1,47.8621212121212,92.67878787878792,47.862121212121245,50.67121212121216,15,4,1.237396978,3.432836988,88.23484848484851,44.53787878787876,47.2742424242424
1,47.8621212121212,92.67878787878792,47.862121212121245,50.67121212121216,15,4,1.237396978,3.432836988,88.28333333333339,42.94545454545458,45.61363636363635
1,47.8621212121212,92.67878787878792,47.862121212121245,50.67121212121216,15,4,1.237396978,3.432836988,88.36666666666673,42.9272727272727,45.0590909090909
1,47.8621212121212,92.67878787878792,47.862121212121245,50.67121212121216,15,4,1.237396978,3.432836988,88.49848484848489,42.015151515151544,46.61060606060603
1,47.8621212121212,92.67878787878792,47.862121212121245,50.67121212121216,15,4,1.237396978,3.432836988,88.60606060606061,41.2681818181818,45.41515151515149
1,47.8621212121212,92.67878787878792,47.862121212121245,50.67121212121216,15,4,1.237396978,3.432836988,88.689393939394,40.01818181818181,44.860606060606045
1,47.8621212121212,92.67878787878792,47.862121212121245,50.67121212121216,15,4,1.237396978,3.432836988,88.7075757575758,39.82727272727274,44.38636363636362
1,47.8621212121212,92.67878787878792,47.862121212121245,50.67121212121216,15,4,1.237396978,3.432836988,88.79090909090917,39.80909090909089,43.84090909090907
1,47.8621212121212,92.67878787878792,47.862121212121245,50.67121212121216,15,4,1.237396978,3.432836988,88.85606060606065,38.40454545454543,44.19696969696967
1,47.8621212121212,92.67878787878792,47.862121212121245,50.67121212121216,15,4,1.237396978,3.432836988,88.93939393939394,38.29090909090907,43.64242424242422
1,47.8621212121212,92.67878787878792,47.862121212121245,50.67121212121216,15,4,1.237396978,3.432836988,89.07575757575763,37.25909090909086,42.41060606060604
1,47.8621212121212,92.67878787878792,47.862121212121245,50.67121212121216,15,4,1.237396978,3.432836988,89.14393939393943,36.009090909090936,41.865151515151496
1,47.8621212121212,92.67878787878792,47.862121212121245,50.67121212121216,15,4,1.237396978,3.432836988,89.33484848484852,34.39545454545449,41.19242424242422
1,47.8621212121212,92.67878787878792,47.862121212121245,50.67121212121216,15,4,1.237396978,3.432836988,89.40909090909095,34.28181818181817,40.64696969696968
1,47.8621212121212,92.67878787878792,47.862121212121245,50.67121212121216,15,4,1.237396978,3.432836988,89.64393939393943,25.386363636363562,33.87424242424241
1,47.8621212121212,92.67878787878792,47.862121212121245,50.67121212121216,15,4,1.237396978,3.432836988,89.82575757575762,24.286363636363603,33.354545454545445
1,47.8621212121212,92.67878787878792,47.862121212121245,50.67121212121216,15,4,1.237396978,3.432836988,90.55303030303037,18.24999999999997,27.786363636363618
1,46.50151515151515,72.62121212121254,46.50151515151515,50.67121212121216,15,5,18.76609539,9.463378052,46.50151515151515,46.50151515151515,46.501515151515136
1,46.50151515151515,72.62121212121254,46.50151515151515,50.67121212121216,15,5,18.76609539,9.463378052,48.83181818181836,46.12878787878789,47.654545454545456
