iter,max_previous_assortments,estimated_revenue,worst_case_revenue,best_case_revenue,n
1,0.4746088679794568,0.4890528909783246,0.4169391788192287,0.4890528909783246,4
2,0.46514073921259164,0.4651407392125916,0.4651407392125916,0.4651407392125916,4
3,0.5603139231279951,0.5603139231279951,0.5603139231279951,0.5603139231279951,4
4,0.5832685306597474,0.5832685306597473,0.5832685306597473,0.5832685306597473,4
5,0.5041547139065763,0.5041547139065762,0.5041547139065762,0.5041547139065762,4
6,0.48735803732597827,0.48735803732597816,0.48735803732597816,0.48735803732597816,4
7,0.6180715092696467,0.6180715092696466,0.6180715092696467,0.6180715092696467,4
8,0.5599351938367738,0.5599351938367738,0.5599351938367738,0.5599351938367738,4
9,0.49506520482784677,0.49506520482784677,0.4950652048278467,0.4950652048278467,4
10,0.5137106958148947,0.5137106958148947,0.5137106958148948,0.5137106958148947,4
11,0.5176599796430232,0.5193709802761115,0.45778523870164145,0.5353240124752063,4
12,0.6562684921965103,0.6562684921965104,0.6562684921965104,0.6562684921965104,4
13,0.39222778141753256,0.39222778141753256,0.39222778141753256,0.39222778141753256,4
14,0.52428863782426,0.52428863782426,0.52428863782426,0.5242886378242602,4
15,0.32888227579472284,0.3288822757947227,0.32888227579472273,0.32888227579472273,4
16,0.6112014796896974,0.6112014796896974,0.6112014796896974,0.6112014796896974,4
17,0.18033735658541117,0.18033735658541117,0.18033735658541117,0.18033735658541114,4
18,0.6377266363129871,0.6377266363129871,0.6377266363129871,0.6377266363129871,4
19,0.4342383610411169,0.44784534115390895,0.38387652156578184,0.4478453411539089,4
20,0.6354596125086959,0.6354596125086958,0.6354596125086958,0.6354596125086958,4
21,0.34891858063232484,0.34891858063232495,0.34891858063232495,0.34891858063232495,4
22,0.434916313791131,0.43491631379113105,0.43491631379113105,0.434916313791131,4
23,0.4459267009179661,0.44592670091796605,0.44592670091796605,0.445926700917966,4
24,0.5559645189099087,0.5559645189099086,0.5559645189099085,0.5559645189099086,4
25,0.3472082199264663,0.34720821992646617,0.34720821992646617,0.34720821992646617,4
26,0.5824938134495343,0.5824938134495343,0.5824938134495343,0.5824938134495343,4
27,0.19247201079297088,0.19957062524820668,0.14219896244360286,0.21359447908089085,4
28,0.6489790258665395,0.6489790258665395,0.6489790258665395,0.6489790258665395,4
29,0.4893063980400958,0.4893063980400958,0.4893063980400958,0.4893063980400958,4
30,0.5971113510400056,0.5971113510400056,0.5971113510400057,0.5971113510400057,4
31,0.5010977011610297,0.5010977011610297,0.5010977011610298,0.5010977011610297,4
32,0.6482735149762114,0.6482735149762113,0.6482735149762113,0.6482735149762112,4
33,0.24126555723597604,0.24126555723597604,0.24126555723597604,0.24126555723597604,4
34,0.44339368416140146,0.44339368416140135,0.44339368416140135,0.44339368416140135,4
35,0.4397234391468091,0.43972343914680906,0.4397234391468091,0.43972343914680906,4
36,0.2615364732561589,0.261536473256159,0.2615364732561589,0.2615364732561589,4
37,0.49651884913946776,0.49651884913946787,0.4965188491394678,0.4965188491394678,4
38,0.4069740339125184,0.4069740339125184,0.4069740339125184,0.4069740339125184,4
39,0.6466381611238093,0.6466381611238093,0.6466381611238095,0.6466381611238092,4
40,0.441006280746317,0.441006280746317,0.441006280746317,0.441006280746317,4
41,0.48468533116959367,0.4846853311695936,0.4846853311695936,0.4846853311695936,4
42,0.42811856901699524,0.42811856901699524,0.42811856901699524,0.42811856901699524,4
43,0.377097714848109,0.37709771484810906,0.37709771484810894,0.37709771484810906,4
44,0.4097826024968837,0.40978260249688353,0.4097826024968836,0.4097826024968836,4
45,0.38200877420538487,0.3820087742053849,0.3820087742053849,0.3820087742053849,4
46,0.4121455685617798,0.4121455685617798,0.4121455685617798,0.4121455685617798,4
47,0.592352664766326,0.6303186109562384,0.47948181033621,0.6600409395754974,4
48,0.37650363489082717,0.37650363489082717,0.37650363489082717,0.37650363489082717,4
49,0.5394313554210357,0.5394313554210357,0.5394313554210357,0.5394313554210357,4
50,0.57556700515528,0.57556700515528,0.5755670051552799,0.57556700515528,4
51,0.3728071713098576,0.3833225248288468,0.1962990704361134,0.40248648919446345,4
52,0.47189668591873074,0.47189668591873063,0.4718966859187307,0.4718966859187307,4
53,0.4022540808390025,0.40225408083900255,0.4022540808390025,0.4022540808390025,4
54,0.4281410776572623,0.4281410776572624,0.4281410776572624,0.4281410776572624,4
55,0.6293222360927174,0.6293222360927173,0.6293222360927174,0.6293222360927173,4
56,0.41851986128266316,0.4185198612826631,0.4185198612826631,0.41851986128266316,4
57,0.2787099117878943,0.2787099117878943,0.2787099117878943,0.2787099117878943,4
58,0.6174201719829008,0.6174201719829008,0.6174201719829007,0.6174201719829007,4
59,0.5954192673384597,0.5954192673384596,0.5954192673384596,0.5954192673384596,4
60,0.3439070207050522,0.3439070207050522,0.3439070207050522,0.3439070207050522,4
61,0.3882348494056149,0.3882348494056148,0.3882348494056148,0.3882348494056148,4
62,0.5574982204113895,0.5574982204113895,0.5574982204113895,0.5574982204113895,4
63,0.6156417274346975,0.6156417274346974,0.6156417274346974,0.6156417274346974,4
64,0.7211159330183201,0.7211159330183201,0.7211159330183201,0.7211159330183201,4
65,0.38914494737292044,0.38914494737292044,0.3891449473729206,0.3891449473729206,4
66,0.45465841443912064,0.45465841443912053,0.4546584144391205,0.4546584144391205,4
67,0.5556050884677128,0.5556050884677127,0.5556050884677127,0.5556050884677127,4
68,0.49993654566445606,0.499936545664456,0.499936545664456,0.499936545664456,4
69,0.49713943019326245,0.4971394301932624,0.49713943019326245,0.49713943019326245,4
70,0.4479857141479234,0.44798571414792343,0.44798571414792343,0.44798571414792343,4
71,0.5625879194315908,0.5625879194315908,0.5625879194315908,0.5625879194315908,4
72,0.3577181877523148,0.3577181877523148,0.3577181877523148,0.3577181877523148,4
73,0.6520089399207278,0.6520089399207277,0.6520089399207278,0.6520089399207278,4
74,0.6496867664058071,0.6496867664058071,0.6496867664058071,0.6496867664058071,4
75,0.4693407582827006,0.4693407582827006,0.4693407582827006,0.4693407582827006,4
76,0.3718765099267305,0.37187650992673055,0.37187650992673055,0.37187650992673055,4
77,0.514012248095547,0.5140122480955469,0.514012248095547,0.514012248095547,4
78,0.39162168293376565,0.3916216829337656,0.3916216829337656,0.3916216829337656,4
79,0.2309619054481798,0.23096190544817974,0.23096190544817974,0.23096190544817974,4
80,0.4243548520860765,0.42435485208607654,0.4243548520860765,0.4243548520860765,4
81,0.31424238201535815,0.31424238201535815,0.3142423820153582,0.3142423820153582,4
82,0.3181376794734237,0.3181376794734237,0.3181376794734237,0.3181376794734237,4
83,0.41765175065936955,0.41765175065936944,0.41765175065936944,0.41765175065936944,4
84,0.3023606822533668,0.30236068225336676,0.3023606822533668,0.3023606822533668,4
85,0.26664532755754694,0.2666453275575467,0.2666453275575468,0.2666453275575468,4
86,0.4023135314391807,0.4023135314391807,0.4023135314391807,0.4023135314391807,4
87,0.33091521940106533,0.33549962943542616,0.26211039500378913,0.3365562301716826,4
88,0.5710908401931035,0.5710908401931034,0.5710908401931034,0.5710908401931034,4
89,0.4321954043323748,0.4321954043323748,0.4321954043323748,0.4321954043323748,4
90,0.6318972127698802,0.6318972127698803,0.6318972127698802,0.6318972127698802,4
91,0.7475293671749013,0.7475293671749013,0.7475293671749013,0.7475293671749013,4
92,0.43034576754727616,0.43034576754727616,0.43034576754727616,0.43034576754727616,4
93,0.5845013123549395,0.5845013123549394,0.5845013123549394,0.5845013123549394,4
94,0.3480570531690571,0.3480570531690571,0.3480570531690571,0.3480570531690571,4
95,0.4191517429158763,0.41915174291587637,0.4191517429158763,0.4191517429158763,4
96,0.57481098294628,0.57481098294628,0.57481098294628,0.57481098294628,4
97,0.6221289006635511,0.6221289006635513,0.6221289006635512,0.6221289006635512,4
98,0.2879430817396276,0.2879430817396276,0.2879430817396276,0.2879430817396276,4
