iter,n,K,max_previous_assortments,worst_case_revenue,best_case_revenue
1,10,10,0.43059450867631316,0.4305945086763132,0.4305945086763132
2,10,10,0.541784973578919,0.5417849735789191,0.5417849735789191
3,10,10,0.5148463192606103,0.5148463192606103,0.5918529579122854
4,10,10,0.568866876692384,0.568866876692384,0.568866876692384
5,10,10,0.53241437680981,0.53241437680981,0.53241437680981
6,10,10,0.7631307993942056,0.7631307993942056,0.7631307993942056
7,10,10,0.5113990093451902,0.5113990093451902,0.5113990093451902
8,10,10,0.7489115630798973,0.7489115630798971,0.7489115630798971
9,10,10,0.4942716652716444,0.4942716652716444,0.4942716652716444
10,10,10,0.3414049628446641,0.34140496284466404,0.34140496284466404
11,10,10,0.66142662107437,0.6614266210743699,0.6614266210743699
12,10,10,0.5430550230638652,0.5870829667570356,0.5870829667570356
13,10,10,0.6432313804257879,0.6432313804257879,0.6432313804257879
14,10,10,0.24364335746577473,0.24364335746577476,0.24364335746577476
15,10,10,0.6220411227522815,0.6220411227522815,0.6220411227522815
16,10,10,0.6881364086133571,0.688136408613357,0.688136408613357
17,10,10,0.4265407127371095,0.42654071273710953,0.42654071273710953
18,10,10,0.3136089960358323,0.32672498852968346,0.33992341926112324
19,10,10,0.38910014595215925,0.38910014595215925,0.38910014595215925
20,10,10,0.5630140481111018,0.5630140481111018,0.5630140481111018
21,10,10,0.3184139629138267,0.35479635200874793,0.41289922569052573
22,10,10,0.5079966730894581,0.5079966730894581,0.5079966730894581
23,10,10,0.6524722178703418,0.6524722178703418,0.6524722178703418
24,10,10,0.5648935081135167,0.5648935081135167,0.5648935081135167
25,10,10,0.6621317512957895,0.6621317512957895,0.6621317512957895
26,10,10,0.4379020850145806,0.43947195673316947,0.4477832612742948
27,10,10,0.538255240950605,0.5382552409506048,0.5382552409506048
28,10,10,0.5368715262078881,0.5368715262078881,0.5368715262078881
29,10,10,0.7255780810933045,0.7255780810933046,0.7255780810933046
30,10,10,0.6618151043613877,0.6618151043613877,0.6618151043613877
31,10,10,0.44258249418484674,0.5065750978667989,0.684986266048009
